Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
1,118.218,216.77,64.688,32.989,239.205,6.467767125655123,742.780974
1,197.246,265.844,41.384,56.693,104.099,6.260068543856481,582.5760175
1,33.274,274.154,96.098,49.121,219.128,6.73602822106013,969.4330397
1,153.625,280.736,68.659,38.506,144.643,6.572749451953144,776.6933017
1,127.854,83.054,5.228,9.21,53.31,2.3022838190617754,153.5092818
1,227.808,159.107,12.394,33.846,66.102,4.906243070618393,302.3686643
1,124.929,186.8,37.661,25.469,76.802,5.809607008838152,457.9447343
1,36.42,204.701,16.171,115.383,188.228,5.197836007494329,387.3193815
1,98.66,160.577,51.933,22.331,92.649,5.974158810365047,547.1780083
1,125.275,215.577,93.452,45.142,129.206,6.617812672091019,922.1065132
1,100.311,224.585,87.776,49.101,263.15,6.67528618840175,933.158779
1,44.251,155.602,16.45,87.158,30.581,4.457092430218641,284.0540349
