Parent Load Case,Top Flange Width,Bottom Flange Width,Web Thickness,Doubler Thickness at Hoist Pin,Doubler Thickness at Load Pin,Fitness 1, Fitness 2
1,132.615,195.453,12.094,228.786,78.996,5.074411330963669,434.8181466
1,234.985,237.894,12.628,176.612,181.745,5.616328239092309,499.5480629
1,201.08,155.332,53.342,165.971,179.628,6.194983132797532,746.1855432
1,5.205,223.216,110.249,47.761,99.171,6.643854584543592,991.1266145
1,63.74,81.368,20.655,130.568,58.359,3.945690464394995,339.0743246
1,123.3,45.627,28.027,69.381,16.511,3.559374092988686,337.8069196
1,75.104,65.303,16.675,72.05,88.222,3.439843815625442,274.295782
1,6.019,165.234,8.989,36.462,176.571,3.295759149662358,238.9577195
1,20.029,244.959,85.234,97.971,196.738,6.610867729730326,900.4270732
1,96.095,102.518,70.149,40.664,99.861,6.070993425739033,675.6620075
1,211.914,214.911,28.164,105.986,224.049,5.961165432086013,559.0064701
1,55.026,85.18,96.127,75.515,118.852,6.34549384530395,880.6908146
1,140.408,116.002,64.755,95.685,169.004,6.189890953690075,731.1808663
1,107.874,215.239,60.817,234.468,65.07,6.2240929447090245,793.7121556
1,218.698,118.279,52.875,16.585,20.408,5.636682853511404,550.4518761
